type;toi;x00;x10;x20;x30;x01;x11;x21;x31;x0r;x1r;x2r;x3r
PointTriangle;0.639587;0.0998596922,0.0124192592,0.0058713434;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000790671,0.0120028192,0.0050217560;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000790671,0.0120028192,0.0050217560;0.1000092253,-0.2500175238,-0.2500357330;0.1000184491,0.2499649823,0.2499285489;0.1000276729,0.2499474734,-0.2501071692
PointTriangle;0.37331137;0.0999324694,0.0237339847,0.0202295240;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001133695,0.0237385053,0.0202574730;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001133695,0.0237385053,0.0202574730;0.1000132263,-0.2499996722,-0.2499979585;0.1000264511,0.2500006557,0.2500040829;0.1000396833,0.2500009835,-0.2499938756
PointTriangle;0.23795955;0.0999184996,0.0215425715,0.0202617291;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1002610028,0.0215585325,0.0202728547;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1002610028,0.0215585325,0.0202728547;0.1000304520,-0.2499985844,-0.2499990165;0.1000609025,0.2500028312,0.2500019670;0.1000913531,0.2500042617,-0.2499970347
PointTriangle;0.7620954;0.0999007151,0.0204870179,0.0208155587;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000309959,0.0205473211,0.0208315626;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000309959,0.0205473211,0.0208315626;0.1000036150,-0.2499983311,-0.2499995530;0.1000072360,-0.2499966472,0.2500008941;0.1000108495,0.2500050068,0.2500013411
PointTriangle;0.6141609;0.0998978913,0.0183354635,0.0208886359;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000641510,0.0183807295,0.0209017731;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000641510,0.0183807295,0.0209017731;0.1000074893,-0.2499979585,-0.2499994040;0.1000149697,-0.2499959320,0.2500011921;0.1000224501,0.2500061095,0.2500017881
PointTriangle;0.35336056;0.0998910666,0.0162082165,0.0208244976;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001993492,0.0161189958,0.0208645463;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1001993492,0.0161189958,0.0208645463;0.1000232622,-0.2500067353,-0.2499969751;0.1000465155,-0.2500134706,0.2500060499;0.1000697762,0.2499798089,0.2500090599
PointTriangle;0.46284515;0.0998861194,0.0135615198,0.0052854274;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001321673,0.0131756999,0.0044222106;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1001321673,0.0131756999,0.0044222106;0.1000154242,-0.2500241697,-0.2500540912;0.1000308394,0.2499516457,0.2498918027;0.1000462621,0.2499274611,-0.2501622736
PointTriangle;0.5995598;0.0998761877,0.0264445730,0.0347328708;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000826955,0.0268440228,0.0356669240;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,-0.2500000000,0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000826955,0.0268440228,0.0356669240;0.1000096500,-0.2499813437,-0.2499563694;0.1000192985,-0.2499626726,0.2500872612;0.1000289470,0.2500559986,0.2501309216
PointTriangle;0.87068385;0.0999321789,0.0158532280,0.0048224768;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000100747,0.0156379379,0.0041136132;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1000100747,0.0156379379,0.0041136136;0.1000011787,-0.2500032485,-0.2500106990;0.1000023484,0.2499935031,0.2499786168;0.1000035256,0.2499902546,-0.2500320971
PointTriangle;0.2836502;0.0999119505,0.0182962678,0.0077049467;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1002223715,0.0183014031,0.0074586826;0.1000000015,-0.2500000000,-0.2500000000;0.1000000015,0.2500000000,0.2500000000;0.1000000015,0.2500000000,-0.2500000000;0.1002223715,0.0183014031,0.0074586826;0.1000259444,-0.2499995679,-0.2500205934;0.1000518873,0.2500008643,0.2499588430;0.1000778303,0.2500012815,-0.2500617504
